timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686230326786,1196,All pages,200,OK,Thread Group 1-3,text,true,,92784,234,10,10,https://bjitgroup.com,238,0,123
1686230326786,239,All pages-0,301,Moved Permanently,Thread Group 1-3,text,true,,399,119,10,10,http://www.bjitgroup.com/,238,0,123
1686230327025,957,All pages-1,200,OK,Thread Group 1-3,text,true,,92385,115,10,10,https://bjitgroup.com,725,0,443
1686230326886,1124,All pages,200,OK,Thread Group 1-4,text,true,,92784,234,10,10,https://bjitgroup.com,253,0,124
1686230326886,253,All pages-0,301,Moved Permanently,Thread Group 1-4,text,true,,399,119,10,10,http://www.bjitgroup.com/,253,0,124
1686230327139,871,All pages-1,200,OK,Thread Group 1-4,text,true,,92385,115,10,10,https://bjitgroup.com,611,0,329
1686230327983,426,About Us,200,OK,Thread Group 1-3,text,true,,92784,242,10,10,https://bjitgroup.com,114,0,0
1686230327983,115,About Us-0,301,Moved Permanently,Thread Group 1-3,text,true,,399,127,10,10,http://www.bjitgroup.com/about-us,114,0,0
1686230328098,311,About Us-1,200,OK,Thread Group 1-3,text,true,,92385,115,10,10,https://bjitgroup.com,144,0,0
1686230326647,1857,All pages,200,OK,Thread Group 1-1,text,true,,92784,234,10,10,https://bjitgroup.com,317,0,193
1686230326647,319,All pages-0,301,Moved Permanently,Thread Group 1-1,text,true,,399,119,10,10,http://www.bjitgroup.com/,317,0,193
1686230326968,1536,All pages-1,200,OK,Thread Group 1-1,text,true,,92385,115,10,10,https://bjitgroup.com,786,0,500
1686230327185,1397,All pages,200,OK,Thread Group 1-7,text,true,,92784,234,10,10,https://bjitgroup.com,239,0,118
1686230327185,239,All pages-0,301,Moved Permanently,Thread Group 1-7,text,true,,399,119,10,10,http://www.bjitgroup.com/,239,0,118
1686230327424,1158,All pages-1,200,OK,Thread Group 1-7,text,true,,92385,115,10,10,https://bjitgroup.com,739,0,237
1686230327084,1537,All pages,200,OK,Thread Group 1-6,text,true,,92784,234,10,10,https://bjitgroup.com,252,0,125
1686230327084,252,All pages-0,301,Moved Permanently,Thread Group 1-6,text,true,,399,119,10,10,http://www.bjitgroup.com/,252,0,125
1686230327336,1285,All pages-1,200,OK,Thread Group 1-6,text,true,,92385,115,10,10,https://bjitgroup.com,494,0,248
1686230326986,1754,All pages,200,OK,Thread Group 1-5,text,true,,92784,234,10,10,https://bjitgroup.com,258,0,126
1686230326986,258,All pages-0,301,Moved Permanently,Thread Group 1-5,text,true,,399,119,10,10,http://www.bjitgroup.com/,258,0,126
1686230327244,1496,All pages-1,200,OK,Thread Group 1-5,text,true,,92385,115,10,10,https://bjitgroup.com,587,0,264
1686230326687,2257,All pages,200,OK,Thread Group 1-2,text,true,,92784,234,10,10,https://bjitgroup.com,287,0,165
1686230326687,287,All pages-0,301,Moved Permanently,Thread Group 1-2,text,true,,399,119,10,10,http://www.bjitgroup.com/,287,0,165
1686230326975,1969,All pages-1,200,OK,Thread Group 1-2,text,true,,92385,115,10,10,https://bjitgroup.com,839,0,493
1686230328010,1259,About Us,200,OK,Thread Group 1-4,text,true,,92784,242,10,10,https://bjitgroup.com,133,0,0
1686230328010,133,About Us-0,301,Moved Permanently,Thread Group 1-4,text,true,,399,127,10,10,http://www.bjitgroup.com/about-us,133,0,0
1686230328143,1126,About Us-1,200,OK,Thread Group 1-4,text,true,,92385,115,10,10,https://bjitgroup.com,655,0,0
1686230328582,817,About Us,200,OK,Thread Group 1-7,text,true,,92784,242,10,10,https://bjitgroup.com,150,0,0
1686230328582,150,About Us-0,301,Moved Permanently,Thread Group 1-7,text,true,,399,127,10,10,http://www.bjitgroup.com/about-us,150,0,0
1686230328733,666,About Us-1,200,OK,Thread Group 1-7,text,true,,92385,115,10,10,https://bjitgroup.com,167,0,0
1686230327486,1959,All pages,200,OK,Thread Group 1-10,text,true,,92784,234,10,10,https://bjitgroup.com,240,0,118
1686230327486,240,All pages-0,301,Moved Permanently,Thread Group 1-10,text,true,,399,119,10,10,http://www.bjitgroup.com/,240,0,118
1686230327727,1718,All pages-1,200,OK,Thread Group 1-10,text,true,,92385,115,10,10,https://bjitgroup.com,857,0,312
1686230328504,1035,About Us,200,OK,Thread Group 1-1,text,true,,92784,242,10,10,https://bjitgroup.com,117,0,0
1686230328504,117,About Us-0,301,Moved Permanently,Thread Group 1-1,text,true,,399,127,10,10,http://www.bjitgroup.com/about-us,117,0,0
1686230328621,918,About Us-1,200,OK,Thread Group 1-1,text,true,,92385,115,10,10,https://bjitgroup.com,205,0,0
1686230328410,1163,Services,200,OK,Thread Group 1-3,text,true,,92784,254,10,10,https://bjitgroup.com,118,0,0
1686230328410,118,Services-0,301,Moved Permanently,Thread Group 1-3,text,true,,399,139,10,10,http://www.bjitgroup.com/offshore-it-services,118,0,0
1686230328528,1045,Services-1,200,OK,Thread Group 1-3,text,true,,92385,115,10,10,https://bjitgroup.com,152,0,0
1686230328621,962,About Us,200,OK,Thread Group 1-6,text,true,,92784,242,10,10,https://bjitgroup.com,172,0,0
1686230328621,173,About Us-0,301,Moved Permanently,Thread Group 1-6,text,true,,399,127,10,10,http://www.bjitgroup.com/about-us,172,0,0
1686230328794,789,About Us-1,200,OK,Thread Group 1-6,text,true,,92385,115,10,10,https://bjitgroup.com,180,0,0
1686230328944,706,About Us,200,OK,Thread Group 1-2,text,true,,92784,242,10,10,https://bjitgroup.com,193,0,0
1686230328944,193,About Us-0,301,Moved Permanently,Thread Group 1-2,text,true,,399,127,10,10,http://www.bjitgroup.com/about-us,193,0,0
1686230329137,513,About Us-1,200,OK,Thread Group 1-2,text,true,,92385,115,10,10,https://bjitgroup.com,201,0,0
1686230327286,2383,All pages,200,OK,Thread Group 1-8,text,true,,92784,234,10,10,https://bjitgroup.com,243,0,121
1686230327286,243,All pages-0,301,Moved Permanently,Thread Group 1-8,text,true,,399,119,10,10,http://www.bjitgroup.com/,243,0,121
1686230327529,2140,All pages-1,200,OK,Thread Group 1-8,text,true,,92385,115,10,10,https://bjitgroup.com,658,0,248
1686230327385,2428,All pages,200,OK,Thread Group 1-9,text,true,,92784,234,10,10,https://bjitgroup.com,249,0,123
1686230327385,249,All pages-0,301,Moved Permanently,Thread Group 1-9,text,true,,399,119,10,10,http://www.bjitgroup.com/,249,0,123
1686230327634,2179,All pages-1,200,OK,Thread Group 1-9,text,true,,92385,115,10,10,https://bjitgroup.com,562,0,306
1686230329270,960,Services,200,OK,Thread Group 1-4,text,true,,92784,254,10,10,https://bjitgroup.com,150,0,0
1686230329270,150,Services-0,301,Moved Permanently,Thread Group 1-4,text,true,,399,139,10,10,http://www.bjitgroup.com/offshore-it-services,150,0,0
1686230329420,810,Services-1,200,OK,Thread Group 1-4,text,true,,92385,115,10,10,https://bjitgroup.com,186,0,0
1686230328740,1494,About Us,200,OK,Thread Group 1-5,text,true,,92784,242,10,10,https://bjitgroup.com,182,0,0
1686230328740,182,About Us-0,301,Moved Permanently,Thread Group 1-5,text,true,,399,127,10,10,http://www.bjitgroup.com/about-us,182,0,0
1686230328922,1312,About Us-1,200,OK,Thread Group 1-5,text,true,,92385,115,10,10,https://bjitgroup.com,643,0,0
1686230329399,890,Services,200,OK,Thread Group 1-7,text,true,,92784,254,10,10,https://bjitgroup.com,152,0,0
